task,step,goal_distance,success
GauzeRetrieve,0,0.242555951857779,0.0
GauzeRetrieve,1,0.24235241483693615,0.0
GauzeRetrieve,2,0.24234937985753396,0.0
GauzeRetrieve,3,0.24234957310441108,0.0
GauzeRetrieve,4,0.24234982525566856,0.0
GauzeRetrieve,5,0.24235007852971133,0.0
GauzeRetrieve,6,0.24235033187817914,0.0
GauzeRetrieve,7,0.24235051958148457,0.0
GauzeRetrieve,8,0.242348952982508,0.0
GauzeRetrieve,9,0.24234892386411855,0.0
GauzeRetrieve,10,0.24234892328538968,0.0
GauzeRetrieve,11,0.24234892327337373,0.0
GauzeRetrieve,12,0.2423489232732196,0.0
GauzeRetrieve,13,0.24234892327328403,0.0
GauzeRetrieve,14,0.24234892327334986,0.0
GauzeRetrieve,15,0.24234892327341484,0.0
GauzeRetrieve,16,0.24234892327348023,0.0
GauzeRetrieve,17,0.2423489232735452,0.0
GauzeRetrieve,18,0.24234892327361085,0.0
GauzeRetrieve,19,0.2423489232736763,0.0
GauzeRetrieve,20,0.24234892327374213,0.0
GauzeRetrieve,21,0.24216916085410944,0.0
GauzeRetrieve,22,0.2276583140370779,0.0
GauzeRetrieve,23,0.2218033660749453,0.0
GauzeRetrieve,24,0.2195207404226313,0.0
GauzeRetrieve,25,0.21869270540134278,0.0
GauzeRetrieve,26,0.2184199074337563,0.0
GauzeRetrieve,27,0.21831448159199882,0.0
GauzeRetrieve,28,0.1873275197947274,0.0
GauzeRetrieve,29,0.15620588055158682,0.0
GauzeRetrieve,30,0.12575471470710706,0.0
GauzeRetrieve,31,0.09497479225096357,0.0
GauzeRetrieve,32,0.06428297662917039,0.0
GauzeRetrieve,33,0.0328819008104817,0.0
GauzeRetrieve,34,0.010577002994808616,1.0
