split,expected_route,predicted_route,count
test,continue,continue,472
test,continue,reobserve_reestimate,12
test,continue,depth_reestimate_or_cautious_approach,0
test,continue,low_gain_correction_or_replan,0
test,reobserve_reestimate,continue,0
test,reobserve_reestimate,reobserve_reestimate,1080
test,reobserve_reestimate,depth_reestimate_or_cautious_approach,0
test,reobserve_reestimate,low_gain_correction_or_replan,0
test,depth_reestimate_or_cautious_approach,continue,0
test,depth_reestimate_or_cautious_approach,reobserve_reestimate,0
test,depth_reestimate_or_cautious_approach,depth_reestimate_or_cautious_approach,1080
test,depth_reestimate_or_cautious_approach,low_gain_correction_or_replan,0
test,low_gain_correction_or_replan,continue,0
test,low_gain_correction_or_replan,reobserve_reestimate,0
test,low_gain_correction_or_replan,depth_reestimate_or_cautious_approach,0
test,low_gain_correction_or_replan,low_gain_correction_or_replan,707
train,continue,continue,1982
train,continue,reobserve_reestimate,133
train,continue,depth_reestimate_or_cautious_approach,0
train,continue,low_gain_correction_or_replan,0
train,reobserve_reestimate,continue,11
train,reobserve_reestimate,reobserve_reestimate,2384
train,reobserve_reestimate,depth_reestimate_or_cautious_approach,0
train,reobserve_reestimate,low_gain_correction_or_replan,0
train,depth_reestimate_or_cautious_approach,continue,0
train,depth_reestimate_or_cautious_approach,reobserve_reestimate,0
train,depth_reestimate_or_cautious_approach,depth_reestimate_or_cautious_approach,2393
train,depth_reestimate_or_cautious_approach,low_gain_correction_or_replan,0
train,low_gain_correction_or_replan,continue,0
train,low_gain_correction_or_replan,reobserve_reestimate,0
train,low_gain_correction_or_replan,depth_reestimate_or_cautious_approach,0
train,low_gain_correction_or_replan,low_gain_correction_or_replan,569
