stage,mechanism,failure_source,primary_evidence_family,secondary_evidence_family,route,analysis_question,main_metric
problem_definition,all,VPPV perception-policy-servoing loop,multi_evidence_reliability,budgeted_routing,mechanism_specific_route,Can the system identify why the VPPV loop is unreliable before unsafe continuation?,residual_unsafe_failure_rate
mechanism,visual_estimation_bias,segmentation_depth_or_perceptual_regressor_bias,state_estimation_uncertainty,action_outcome_mismatch,reobserve_reestimate,Is the policy moving correctly toward a wrong or biased visual state?,mechanism_recall
mechanism,depth_scale_error,systematic_depth_or_z_axis_error,state_estimation_uncertainty,progress_regularity,depth_reestimate_or_cautious_approach,Does vertical or scale error cause near-target mismatch?,mechanism_recall
mechanism,segmentation_dropout_occlusion,target_mask_dropout_or_occlusion,state_estimation_uncertainty,progress_regularity,pause_reobserve_or_camera_reposition,Does the target state become unreliable when the tool occludes the view?,early_warning_lead_time
mechanism,policy_approach_drift,DDPG_actor_or_high_level_approach_error,policy_embedding_geometry,action_outcome_mismatch,low_gain_correction_or_replan,Does the actor representation or action-progress relation reveal approach drift?,mechanism_recall
mechanism,handoff_servo_failure,near_target_visual_servoing_or_classic_control_failure,progress_regularity,local_trajectory_neighborhood,human_review_or_servo_reset,Does the final handoff fail despite repeated near-target commands?,route_specific_success
mechanism,unsafe_near_target_continuation,recovery_or_approach_enters_danger_region,budgeted_risk_and_routing,progress_regularity,abort_candidate_or_takeover,Does the route stop unsafe continuation before recovery becomes dangerous?,missed_abort_rate
evidence,policy_embedding_geometry,DDPG_actor_hidden_or_action_head_feature,embedding_distance_or_probe,local_trajectory_neighborhood,policy_risk_flag,Does the policy enter a failure-prone representation region?,AUROC_high_risk
evidence,state_estimation_uncertainty,mask_depth_regressor_target_state_noise,mask_area_depth_variance_state_jump,multiview_or_temporal_disagreement,perception_risk_flag,Is the visual state estimate trustworthy?,AUROC_visual_error
evidence,action_outcome_mismatch,transition_after_policy_action,predicted_vs_observed_motion,progress_delta,transition_risk_flag,Did the action produce the expected state transition?,average_precision_failure
evidence,local_trajectory_neighborhood,nearest_nominal_or_failed_transitions,KNN_purity_prototype_distance,mechanism_mixture,mechanism_attribution,Does this transition resemble known failures?,macro_F1_mechanism
evidence,progress_regularity,trajectory_progress_shape,stall_oscillation_overshoot,repeated_action_near_target,handoff_risk_flag,Is the rollout stuck or unstable despite continued commands?,early_warning_lead_time
evidence,perturbation_sensitivity,controlled_visual_depth_policy_drift_stress,severity_sweep,response_curve,stress_test_label,Which perturbation family causes failure and at what severity?,severity_failure_slope
router,composite_router,all_mechanisms,boundary_first_then_residual_mechanisms,evidence_family_ablation,continue_reestimate_replan_review_abort,Does multi-evidence mechanism routing beat single-score or uniform retry baselines?,fixed_budget_capture_rate
