route,feature,weight,abs_weight
auto_execute,success,0.5923128784177097,0.5923128784177097
auto_execute,steps,-1.1078988742180202,1.1078988742180202
auto_execute,initial_distance,-0.1362298142340472,0.1362298142340472
auto_execute,final_distance,-0.3731663029867692,0.3731663029867692
auto_execute,min_distance,-0.35011883788420617,0.35011883788420617
auto_execute,distance_reduction,0.2969357568247745,0.2969357568247745
auto_execute,risk_event_rate,0.314811064422624,0.314811064422624
auto_execute,monitor_triggers,-0.5914596449654422,0.5914596449654422
auto_execute,recovery_replans,-0.22000930210380418,0.22000930210380418
auto_execute,recovery_phase_replans,-0.1896692580113978,0.1896692580113978
auto_execute,recovery_override_rate,-1.0253443477173458,1.0253443477173458
auto_execute,visual_reestimate_triggers,-0.8083897627056739,0.8083897627056739
auto_execute,unsafe_warning_events,-0.21152986689143294,0.21152986689143294
auto_execute,unsafe_abort,-0.19764919750024354,0.19764919750024354
auto_execute,min_danger_distance,-0.06380248167171773,0.06380248167171773
auto_recovery,success,-0.7068036270632008,0.7068036270632008
auto_recovery,steps,-0.1620365621351363,0.1620365621351363
auto_recovery,initial_distance,0.20252975882037585,0.20252975882037585
auto_recovery,final_distance,0.22027615381612056,0.22027615381612056
auto_recovery,min_distance,-0.1109241811711888,0.1109241811711888
auto_recovery,distance_reduction,-0.12438476093527082,0.12438476093527082
auto_recovery,risk_event_rate,-0.013923590547627358,0.013923590547627358
auto_recovery,monitor_triggers,0.425724335398449,0.425724335398449
auto_recovery,recovery_replans,0.06797869830446517,0.06797869830446517
auto_recovery,recovery_phase_replans,0.08021677840622132,0.08021677840622132
auto_recovery,recovery_override_rate,0.41473588747335055,0.41473588747335055
auto_recovery,visual_reestimate_triggers,-0.3254497637374297,0.3254497637374297
auto_recovery,unsafe_warning_events,0.3685884649993463,0.3685884649993463
auto_recovery,unsafe_abort,-0.3097378563648549,0.3097378563648549
auto_recovery,min_danger_distance,-0.02675174577364724,0.02675174577364724
human_review,success,0.1802672972534082,0.1802672972534082
human_review,steps,1.3443510888631034,1.3443510888631034
human_review,initial_distance,-0.05734205510392714,0.05734205510392714
human_review,final_distance,0.16317610792168813,0.16317610792168813
human_review,min_distance,0.4701043167692689,0.4701043167692689
human_review,distance_reduction,-0.17856736291297445,0.17856736291297445
human_review,risk_event_rate,-0.2398318361663991,0.2398318361663991
human_review,monitor_triggers,0.15205779973281852,0.15205779973281852
human_review,recovery_replans,0.13965072795164946,0.13965072795164946
human_review,recovery_phase_replans,0.09654350754837526,0.09654350754837526
human_review,recovery_override_rate,0.7655744981074233,0.7655744981074233
human_review,visual_reestimate_triggers,1.147872208518249,1.147872208518249
human_review,unsafe_warning_events,-0.20720142665781466,0.20720142665781466
human_review,unsafe_abort,-0.046637270367471714,0.046637270367471714
human_review,min_danger_distance,0.20626108047762354,0.20626108047762354
abort_candidate,success,-0.06577654860791843,0.06577654860791843
abort_candidate,steps,-0.07441565250994805,0.07441565250994805
abort_candidate,initial_distance,-0.008957889482401143,0.008957889482401143
abort_candidate,final_distance,-0.010285958751038571,0.010285958751038571
abort_candidate,min_distance,-0.009061297713873793,0.009061297713873793
abort_candidate,distance_reduction,0.006016367023471271,0.006016367023471271
abort_candidate,risk_event_rate,-0.061055637708597336,0.061055637708597336
abort_candidate,monitor_triggers,0.013677509834173663,0.013677509834173663
abort_candidate,recovery_replans,0.01237987584768915,0.01237987584768915
abort_candidate,recovery_phase_replans,0.01290897205680088,0.01290897205680088
abort_candidate,recovery_override_rate,-0.15496603786342394,0.15496603786342394
abort_candidate,visual_reestimate_triggers,-0.014032682075147207,0.014032682075147207
abort_candidate,unsafe_warning_events,0.05014282854990107,0.05014282854990107
abort_candidate,unsafe_abort,0.5540243242325704,0.5540243242325704
abort_candidate,min_danger_distance,-0.11570685303225806,0.11570685303225806
