task,failure,controller,episodes,seeds,success_mean,final_distance_mean,triggers_mean,override_rate_mean,steps_mean
GauzeRetrieve,depth_scale_error,clean,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,depth_scale_error,monitor_corrected,5,5,0.0,0.2645450167650504,0.0,0.0,180.0
GauzeRetrieve,depth_scale_error,perturbed,5,5,0.0,0.2645450167650504,0.0,0.0,180.0
GauzeRetrieve,near_target_drift,clean,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,near_target_drift,monitor_corrected,5,5,1.0,0.011356316250404019,1.0,0.057835497835497796,34.6
GauzeRetrieve,near_target_drift,perturbed,5,5,0.0,0.04554713630979006,0.0,0.0,180.0
GauzeRetrieve,none,clean,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,none,monitor_corrected,5,5,1.0,0.01251812428274934,0.0,0.0,34.6
GauzeRetrieve,perception_bias,clean,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,perception_bias,monitor_corrected,5,5,0.0,0.26451362332775097,0.0,0.0,180.0
GauzeRetrieve,perception_bias,perturbed,5,5,0.0,0.26451362332775097,0.0,0.0,180.0
NeedlePick,depth_scale_error,clean,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,depth_scale_error,monitor_corrected,5,5,0.0,0.2332736165998651,1.6,0.14111111111111113,180.0
NeedlePick,depth_scale_error,perturbed,5,5,0.0,0.218395370927013,0.0,0.0,180.0
NeedlePick,near_target_drift,clean,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,near_target_drift,monitor_corrected,5,5,1.0,0.01880614528618026,1.0,0.07521205082180688,39.8
NeedlePick,near_target_drift,perturbed,5,5,0.2,0.09559785809757501,0.0,0.0,151.0
NeedlePick,none,clean,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,none,monitor_corrected,5,5,1.0,0.019603309080838897,0.0,0.0,40.0
NeedlePick,perception_bias,clean,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,perception_bias,monitor_corrected,5,5,0.0,0.2263655642224026,1.6,0.1388888888888889,180.0
NeedlePick,perception_bias,perturbed,5,5,0.0,0.22600370521652327,0.0,0.0,180.0
