task,severity,severity_rank,failure,controller,perception_bias_scale,depth_scale_error,near_target_drift_scale,episodes,seeds,success_mean,final_distance_mean,triggers_mean,override_rate_mean,steps_mean
GauzeRetrieve,low,0,depth_scale_error,clean,0.25,0.03,0.5,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,low,0,depth_scale_error,monitor_corrected,0.25,0.03,0.5,5,5,0.0,0.2679288987302261,2.0,0.1622222222222222,180.0
GauzeRetrieve,low,0,depth_scale_error,perturbed,0.25,0.03,0.5,5,5,0.0,0.26849364894895955,0.0,0.0,180.0
GauzeRetrieve,medium,1,depth_scale_error,clean,1.0,0.12,1.0,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,medium,1,depth_scale_error,monitor_corrected,1.0,0.12,1.0,5,5,0.0,0.2645450167650504,0.0,0.0,180.0
GauzeRetrieve,medium,1,depth_scale_error,perturbed,1.0,0.12,1.0,5,5,0.0,0.2645450167650504,0.0,0.0,180.0
GauzeRetrieve,high,2,depth_scale_error,clean,1.5,0.18,1.5,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,high,2,depth_scale_error,monitor_corrected,1.5,0.18,1.5,5,5,0.0,0.2646802484178675,0.0,0.0,180.0
GauzeRetrieve,high,2,depth_scale_error,perturbed,1.5,0.18,1.5,5,5,0.0,0.2646802484178675,0.0,0.0,180.0
GauzeRetrieve,low,0,near_target_drift,clean,0.25,0.03,0.5,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,low,0,near_target_drift,monitor_corrected,0.25,0.03,0.5,5,5,1.0,0.01839022418090446,0.0,0.0,35.0
GauzeRetrieve,low,0,near_target_drift,perturbed,0.25,0.03,0.5,5,5,1.0,0.01839022418090446,0.0,0.0,35.0
GauzeRetrieve,medium,1,near_target_drift,clean,1.0,0.12,1.0,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,medium,1,near_target_drift,monitor_corrected,1.0,0.12,1.0,5,5,1.0,0.011356316250404019,1.0,0.057835497835497796,34.6
GauzeRetrieve,medium,1,near_target_drift,perturbed,1.0,0.12,1.0,5,5,0.0,0.04554713630979006,0.0,0.0,180.0
GauzeRetrieve,high,2,near_target_drift,clean,1.5,0.18,1.5,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,high,2,near_target_drift,monitor_corrected,1.5,0.18,1.5,5,5,1.0,0.011318486384957801,1.0,0.057835497835497796,34.6
GauzeRetrieve,high,2,near_target_drift,perturbed,1.5,0.18,1.5,5,5,0.0,0.10453878712909023,0.0,0.0,180.0
GauzeRetrieve,low,0,none,clean,0.25,0.03,0.5,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,low,0,none,monitor_corrected,0.25,0.03,0.5,5,5,1.0,0.01251812428274934,0.0,0.0,34.6
GauzeRetrieve,medium,1,none,clean,1.0,0.12,1.0,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,medium,1,none,monitor_corrected,1.0,0.12,1.0,5,5,1.0,0.01251812428274934,0.0,0.0,34.6
GauzeRetrieve,high,2,none,clean,1.5,0.18,1.5,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,high,2,none,monitor_corrected,1.5,0.18,1.5,5,5,1.0,0.01251812428274934,0.0,0.0,34.6
GauzeRetrieve,low,0,perception_bias,clean,0.25,0.03,0.5,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,low,0,perception_bias,monitor_corrected,0.25,0.03,0.5,5,5,1.0,0.01296178944495836,0.0,0.0,34.6
GauzeRetrieve,low,0,perception_bias,perturbed,0.25,0.03,0.5,5,5,1.0,0.01296178944495836,0.0,0.0,34.6
GauzeRetrieve,medium,1,perception_bias,clean,1.0,0.12,1.0,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,medium,1,perception_bias,monitor_corrected,1.0,0.12,1.0,5,5,0.0,0.26451362332775097,0.0,0.0,180.0
GauzeRetrieve,medium,1,perception_bias,perturbed,1.0,0.12,1.0,5,5,0.0,0.26451362332775097,0.0,0.0,180.0
GauzeRetrieve,high,2,perception_bias,clean,1.5,0.18,1.5,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
GauzeRetrieve,high,2,perception_bias,monitor_corrected,1.5,0.18,1.5,5,5,0.0,0.26463437230855325,0.0,0.0,180.0
GauzeRetrieve,high,2,perception_bias,perturbed,1.5,0.18,1.5,5,5,0.0,0.26463437230855325,0.0,0.0,180.0
NeedlePick,low,0,depth_scale_error,clean,0.25,0.03,0.5,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,low,0,depth_scale_error,monitor_corrected,0.25,0.03,0.5,5,5,0.0,0.21313091874070889,0.4,0.03555555555555554,180.0
NeedlePick,low,0,depth_scale_error,perturbed,0.25,0.03,0.5,5,5,0.0,0.21883341275127527,0.0,0.0,180.0
NeedlePick,medium,1,depth_scale_error,clean,1.0,0.12,1.0,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,medium,1,depth_scale_error,monitor_corrected,1.0,0.12,1.0,5,5,0.0,0.2332736165998651,1.6,0.14111111111111113,180.0
NeedlePick,medium,1,depth_scale_error,perturbed,1.0,0.12,1.0,5,5,0.0,0.218395370927013,0.0,0.0,180.0
NeedlePick,high,2,depth_scale_error,clean,1.5,0.18,1.5,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,high,2,depth_scale_error,monitor_corrected,1.5,0.18,1.5,5,5,0.0,0.20421684582377447,0.2,0.01777777777777776,180.0
NeedlePick,high,2,depth_scale_error,perturbed,1.5,0.18,1.5,5,5,0.0,0.20466582960968513,0.0,0.0,180.0
NeedlePick,low,0,near_target_drift,clean,0.25,0.03,0.5,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,low,0,near_target_drift,monitor_corrected,0.25,0.03,0.5,5,5,0.2,0.028373528432426482,0.0,0.0,151.2
NeedlePick,low,0,near_target_drift,perturbed,0.25,0.03,0.5,5,5,0.2,0.028373528432426482,0.0,0.0,151.2
NeedlePick,medium,1,near_target_drift,clean,1.0,0.12,1.0,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,medium,1,near_target_drift,monitor_corrected,1.0,0.12,1.0,5,5,1.0,0.01880614528618026,1.0,0.07521205082180688,39.8
NeedlePick,medium,1,near_target_drift,perturbed,1.0,0.12,1.0,5,5,0.2,0.09559785809757501,0.0,0.0,151.0
NeedlePick,high,2,near_target_drift,clean,1.5,0.18,1.5,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,high,2,near_target_drift,monitor_corrected,1.5,0.18,1.5,5,5,1.0,0.01879338862987948,1.0,0.07521205082180688,39.8
NeedlePick,high,2,near_target_drift,perturbed,1.5,0.18,1.5,5,5,0.0,0.12279469192351981,0.0,0.0,180.0
NeedlePick,low,0,none,clean,0.25,0.03,0.5,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,low,0,none,monitor_corrected,0.25,0.03,0.5,5,5,1.0,0.019603309080838897,0.0,0.0,40.0
NeedlePick,medium,1,none,clean,1.0,0.12,1.0,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,medium,1,none,monitor_corrected,1.0,0.12,1.0,5,5,1.0,0.019603309080838897,0.0,0.0,40.0
NeedlePick,high,2,none,clean,1.5,0.18,1.5,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,high,2,none,monitor_corrected,1.5,0.18,1.5,5,5,1.0,0.019603309080838897,0.0,0.0,40.0
NeedlePick,low,0,perception_bias,clean,0.25,0.03,0.5,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,low,0,perception_bias,monitor_corrected,0.25,0.03,0.5,5,5,0.6,0.08658261085085228,0.0,0.0,97.6
NeedlePick,low,0,perception_bias,perturbed,0.25,0.03,0.5,5,5,0.6,0.08658261085085228,0.0,0.0,97.6
NeedlePick,medium,1,perception_bias,clean,1.0,0.12,1.0,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,medium,1,perception_bias,monitor_corrected,1.0,0.12,1.0,5,5,0.0,0.2263655642224026,1.6,0.1388888888888889,180.0
NeedlePick,medium,1,perception_bias,perturbed,1.0,0.12,1.0,5,5,0.0,0.22600370521652327,0.0,0.0,180.0
NeedlePick,high,2,perception_bias,clean,1.5,0.18,1.5,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
NeedlePick,high,2,perception_bias,monitor_corrected,1.5,0.18,1.5,5,5,0.0,0.22248377390281865,0.4,0.03555555555555554,180.0
NeedlePick,high,2,perception_bias,perturbed,1.5,0.18,1.5,5,5,0.0,0.2242120740845041,0.0,0.0,180.0
